parkname,family,genus,species,utm_zone,utm_x,utm_y,elev_m,coll_date
noca,Apiaceae,Osmorhiza,chilensis,10.0,645714.0,5418430.0,,2002-07-13
noca,Ericaceae,Kalmia,microphylla,10.0,642869.0,5373526.0,1768.0,2002-08-10
noca,Scrophulariaceae,Veronica,wormskjoldii,10.0,642869.0,5373526.0,1768.0,2002-08-10
noca,Scrophulariaceae,Veronica,wormskjoldii,10.0,642869.0,5373526.0,1768.0,2002-08-10
noca,Scrophulariaceae,Veronica,wormskjoldii,10.0,642869.0,5373526.0,1768.0,2002-08-10
noca,Asteraceae,Arnica,mollis,10.0,642869.0,5373526.0,1768.0,2002-08-10
noca,Asteraceae,Senecio,triangularis,10.0,642869.0,5373526.0,1768.0,2002-08-10
noca,Asteraceae,Senecio,triangularis,10.0,642869.0,5373526.0,1768.0,2002-08-10
noca,Ericaceae,Vaccinium,deliciosum,10.0,642869.0,5373526.0,1768.0,2002-08-10
noca,Ericaceae,Vaccinium,deliciosum,10.0,642869.0,5373526.0,1768.0,2002-08-10
noca,Ericaceae,Vaccinium,deliciosum,10.0,642869.0,5373526.0,1768.0,2002-08-10
noca,Asteraceae,Artemisia,norvegica,10.0,642869.0,5373526.0,1768.0,2002-08-10
noca,Asteraceae,Artemisia,norvegica,10.0,642869.0,5373526.0,1768.0,2002-08-10
noca,Salicaceae,Salix,monticola,10.0,642869.0,5373526.0,1768.0,2002-08-10
noca,Salicaceae,Salix,monticola,10.0,642869.0,5373526.0,1768.0,2002-08-10
noca,Salicaceae,Salix,monticola,10.0,642869.0,5373526.0,1768.0,2002-08-10
noca,Saxifragaceae,Saxifraga,nelsoniana,10.0,642783.0,5373737.0,1846.0,2002-08-10
noca,Saxifragaceae,Saxifraga,nelsoniana,10.0,642783.0,5373737.0,1846.0,2002-08-10
noca,Saxifragaceae,Saxifraga,nelsoniana,10.0,642783.0,5373737.0,1846.0,2002-08-10
noca,Ranunculaceae,Ranunculus,eschscholtzii,10.0,642783.0,5373737.0,1846.0,2002-08-10
noca,Ranunculaceae,Ranunculus,eschscholtzii,10.0,642783.0,5373737.0,1846.0,2002-08-10
noca,Caryophyllaceae,Silene,parryi,10.0,642783.0,5373737.0,1846.0,2002-08-10
noca,Caryophyllaceae,Silene,parryi,10.0,642783.0,5373737.0,1846.0,2002-08-10
